sample,disease,n_cells,condition,STAT4_mean,NFKB1_mean,GATA1_mean
Active_1056,MAS,760,Active_MAS,0.037786561995744705,0.073705293238163,0.12400969862937927
Active_1087,MAS,661,Active_MAS,0.12482444196939468,0.15156805515289307,0.06790032982826233
Active_1295,MAS,1000,Active_MAS,0.06683661043643951,0.12991395592689514,0.14573000371456146
Active_673,MAS,544,Active_MAS,0.09413054585456848,0.18732957541942596,0.2238362431526184
Active_704,MAS,639,Active_MAS,0.04128621518611908,0.12833371758460999,0.24114081263542175
Active_794,MAS,401,Active_MAS,0.07982240617275238,0.12467312067747116,0.07070651650428772
Active_805,MAS,819,Active_MAS,0.05171581357717514,0.12282070517539978,0.2885764241218567
Healthy_609,MAS,1076,Control,0.07237660884857178,0.13390299677848816,0.02329961210489273
Healthy_637,MAS,1337,Control,0.06801202893257141,0.13916563987731934,0.07393896579742432
Healthy_657,MAS,1264,Control,0.07268068194389343,0.13471630215644836,0.06224893778562546
Healthy_967,MAS,1843,Control,0.07171088457107544,0.1088322103023529,0.05847591161727905
Healthy_974,MAS,1290,Control,0.07167728245258331,0.11187490075826645,0.026395661756396294
Inactive_353,MAS,1463,Inactive_MAS,0.076173335313797,0.1196308583021164,0.05669175088405609
Inactive_593,MAS,1082,Inactive_MAS,0.06127747893333435,0.10683427006006241,0.07188905030488968
Inactive_594,MAS,1374,Inactive_MAS,0.05661606043577194,0.08977773785591125,0.05019161105155945
Inactive_641,MAS,1061,Inactive_MAS,0.057311613112688065,0.13390442728996277,0.06809546053409576
Inactive_812,MAS,1441,Inactive_MAS,0.05117402598261833,0.0994919165968895,0.038118086755275726
LungDisease_1208,MAS,805,LungDisease,0.11983984708786011,0.15749388933181763,0.13398225605487823
LungDisease_396,MAS,706,LungDisease,0.0914633646607399,0.13733229041099548,0.05430556461215019
LungDisease_622,MAS,1110,LungDisease,0.0794614925980568,0.15439052879810333,0.1603098213672638
LungDisease_7581,MAS,700,LungDisease,0.10528331995010376,0.19362559914588928,0.022732913494110107
LungDisease_7582,MAS,839,LungDisease,0.1097070723772049,0.17941899597644806,0.02080395631492138
LungDisease_965,MAS,932,LungDisease,0.10316497087478638,0.19203749299049377,0.12040428072214127
LungDisease_970,MAS,1049,LungDisease,0.08246703445911407,0.14112472534179688,0.12451194226741791
MAS_1020,MAS,470,Active_MAS,0.08563791960477829,0.14514951407909393,0.16220712661743164
MAS_785,MAS,301,Active_MAS,0.0859069973230362,0.13753873109817505,0.3689602017402649
GSM5102900_HC1,Sepsis,7666,Control,0.04878685623407364,0.6211029291152954,0.178632915019989
GSM5102901_HC2,Sepsis,8345,Control,0.046415023505687714,0.5830212831497192,0.6341641545295715
GSM5102902_P25_T0,Sepsis,4106,Sepsis,0.041375767439603806,0.9027034044265747,115.00440979003906
GSM5102903_P25_T6,Sepsis,4622,Sepsis,0.036564260721206665,0.850916862487793,96.6587142944336
GSM5102904_P50_T0,Sepsis,3248,Sepsis,0.04269293695688248,0.7558497786521912,19.948490142822266
GSM5102905_P50_T6,Sepsis,4566,Sepsis,0.052781425416469574,0.9346528649330139,8.18913745880127
GSM5511351_NSES_T0,Sepsis,4286,Sepsis,0.03904183954000473,1.156527042388916,10.978885650634766
GSM5511352_NSES_T6,Sepsis,6257,Sepsis,0.026477012783288956,0.5468974709510803,9.312019348144531
GSM5511353_S2_T0,Sepsis,6963,Sepsis,0.02803708426654339,0.44281381368637085,12.777796745300293
GSM5511354_S2_T6,Sepsis,5682,Sepsis,0.04822245612740517,0.7572047710418701,11.388894081115723
GSM5511355_S3_T0,Sepsis,2853,Sepsis,0.028274331241846085,0.7066903114318848,0.11317910254001617
GSM5511356_S3_T6,Sepsis,5650,Sepsis,0.041435595601797104,0.41821902990341187,0.17063716053962708
A1,IBD,482,Healthy,0.04732947754236487,0.159801552626046,0.0024854777549011223
A2,IBD,372,UC_noninflamed,0.049702461366882444,0.1880331104055683,0.01478842408652234
A3,IBD,535,UC_inflamed,0.07308167841079377,0.21728325432330203,0.014158232914606222
B1,IBD,1621,Healthy,0.03672942505863473,0.13204385412530753,0.006196774743160755
B2,IBD,1980,UC_noninflamed,0.03691016042671442,0.1431791203442024,0.005651166428211049
B3,IBD,1039,UC_inflamed,0.0529607002613493,0.20427499014914785,0.025042337664427178
C1,IBD,2146,Healthy,0.02784453315428461,0.12927282519157404,0.0077454534750241956
C2,IBD,1726,UC_noninflamed,0.027995228152305842,0.1134298613704185,0.0054554105998128625
C3,IBD,1274,UC_inflamed,0.05241478136683768,0.1639341192511684,0.012733484401738007
