layer,parameter,value,role
L1,orthogonal scoring pass threshold,same sign; p<0.05; |r|>0.3 in raw mean and AUCell/orthogonal score,"reporting heuristic for method stability, not universal biological cutoff"
L2,cross-assay support,consistent direction in available protein/cytokine/pathway readout,supportive evidence only; not direct TF validation
L3,bulk-context consistency,same sign; p<0.05; |r|>0.15 in independent bulk cohort,cross-platform/context screen; weaker effect-size threshold reflects bulk mixture and platform differences
L4,pair-level null threshold,observed |r| above 95th percentile = pass; 75th-95th = marginal/contextual; below 75th = not PBMC-specific,empirical specificity screen within the chosen TF universe and tissue context
L4,triplet null,"1,000 random TF triplets; empirical p=(k+1)/(N+1); TFs require at least 5 expressed targets",case-study stress test for triad-level specificity
L4 sensitivity,matched nulls,500 random matched pairs by regulon size or expression level,checks whether global-null classification is driven by target count or expression level
L5,composition adjustment pass threshold,partial |r|>0.3 and p<0.05 after coarse cell proportions plus housekeeping mean,screen for major composition/global-expression confounding
L6,leave-one-cohort-out,same sign and significance across leave-one-out subsets; report I2/tau2/Q,detects single-cohort dependence and heterogeneity
L7,label permutation,"10,000 within-cohort disease-label permutations; observed |r| above 95th percentile","tests disease-group structure contribution, not TF-pair specificity"
All,random seeds and reproducibility,seeds recorded in scripts; processed scores and expected output files distributed,supports deterministic figure/table reproduction from processed data
